"Story","Title","Result","Date","Stability","Duration (s)"
"Restful booker data driven test","Data driven test for creating multiple bookings","SUCCESS","2023-01-10T22:47:08.073Z[Europe/London]","0.0","14.1"
"Restful booker with tags","This test returns a valid response code 200 when GET request is used","SUCCESS","2023-01-10T22:47:08.155Z[Europe/London]","0.0","0.69"
"Restful booker with tags","This method gets error code 404 when a method is used without resource","SUCCESS","2023-01-10T22:47:08.842Z[Europe/London]","0.0","0.47"
"Restful booker with tags","This test provides an error code 403 when user doesn't give authentication","SUCCESS","2023-01-10T22:47:09.311Z[Europe/London]","0.0","0.45"
"Restful Booker CRUD Test","Create, Read, Update, Delete the Booking","SUCCESS","2023-01-10T22:46:50.658Z[Europe/London]","0.0","11.73"
"Create Read Update Delete Booking Endpoints","Verify if user can access the booking","SUCCESS","2023-01-10T22:47:03.370Z[Europe/London]","0.0","0.72"
"Create Read Update Delete Booking Endpoints","Verify if user can create a new booking","SUCCESS","2023-01-10T22:47:04.192Z[Europe/London]","0.0","0.93"
"Create Read Update Delete Booking Endpoints","Verify if user can update a booking","SUCCESS","2023-01-10T22:47:05.209Z[Europe/London]","0.0","0.9"
"Create Read Update Delete Booking Endpoints","Verify if user can delete an existing record","SUCCESS","2023-01-10T22:47:06.175Z[Europe/London]","0.0","0.88"
