"Story","Title","Result","Date","Stability","Duration (s)"
"Restful Booker CRUD Test","Create, Read, Update, Delete the Booking","SUCCESS","2023-01-10T22:46:50.658Z[Europe/London]","0.0","11.73"
"Create Read Update Delete Booking Endpoints","Verify if user can access the booking","SUCCESS","2023-01-10T22:47:03.370Z[Europe/London]","0.0","0.72"
"Create Read Update Delete Booking Endpoints","Verify if user can create a new booking","SUCCESS","2023-01-10T22:47:04.192Z[Europe/London]","0.0","0.93"
"Create Read Update Delete Booking Endpoints","Verify if user can update a booking","SUCCESS","2023-01-10T22:47:05.209Z[Europe/London]","0.0","0.9"
"Create Read Update Delete Booking Endpoints","Verify if user can delete an existing record","SUCCESS","2023-01-10T22:47:06.175Z[Europe/London]","0.0","0.88"
